UTS,tugasonline,quizonline,ket
0.0,42.5,77.14,1
20.0,60.9,41.43,1
20.0,30.4,62.86,1
80.0,70.8,100.0,0
80.0,76.2,92.86,0
15.0,66.0,78.57,0
30.0,48.1,62.86,1
30.0,49.3,48.57,1
80.0,61.1,92.86,0
0.0,6.0,14.29,1
0.0,16.0,21.43,1
0.0,9.0,14.29,1
0.0,13.5,14.29,1
0.0,8.0,14.29,1
50.0,64.0,90.0,1
0.0,8.0,21.43,1
0.0,10.0,14.29,1
50.0,68.4,92.86,1
25.0,34.3,85.71,1
90.0,79.0,100.0,0
50.0,64.5,92.86,1
0.0,18.0,48.57,1
50.0,64.0,45.71,1
65.0,33.0,68.57,1
50.0,49.1,58.57,1
52.0,30.9,57.14,1
90.0,74.4,98.57,0
45.0,72.8,78.57,0
75.0,72.0,100.0,0
40.0,56.5,84.29,0
75.0,72.5,100.0,0
25.0,52.6,100.0,0
85.0,74.7,100.0,0
83.0,70.5,91.43,0
50.0,59.5,74.29,0
50.0,67.5,62.86,0
50.0,40.5,41.43,1
0.0,12.0,12.86,1
90.0,70.2,97.14,0
5.0,62.9,98.57,1
82.0,71.8,67.14,1
50.0,73.9,100.0,0
60.0,65.5,97.14,0
80.0,69.1,92.86,0
50.0,75.5,60.0,0
80.0,67.0,98.57,0
85.0,64.5,100.0,0
80.0,56.5,80.0,0
85.0,62.5,77.14,1
0.0,21.6,50.0,1
78.0,72.0,85.71,0
0.0,23.0,21.43,1
65.0,68.9,100.0,0
60.0,62.4,80.0,0
75.0,77.0,100.0,0
45.0,7.0,17.14,1
88.0,48.4,92.86,1
80.0,61.5,100.0,0
64.25,70.0,85.0,0
39.88,50.0,85.0,1
66.13,75.0,85.0,0
64.88,60.0,85.0,0
72.38,95.0,85.0,0
75.5,70.0,85.0,0
62.38,70.0,85.0,0
33.0,60.0,85.0,1
47.0,60.0,70.0,0
79.0,75.0,70.0,0
79.0,71.0,70.0,0
39.8,60.0,60.0,0
31.0,0.0,60.0,1
63.0,90.0,70.0,0
73.0,70.0,60.0,0
57.8,50.0,60.0,0
0.0,0.0,0.0,1
0.0,0.0,0.0,1
36.5,76.0,75.0,1
82.7,85.0,80.0,0
30.7,47.0,68.0,1
59.1,86.0,75.0,0
69.5,86.0,75.0,0
79.2,85.0,78.0,0
76.1,86.0,75.0,0
82.7,85.0,80.0,0
78.6,86.0,70.0,0
80.2,86.0,70.0,0
70.7,86.0,75.0,0
78.2,85.0,78.0,0
62.7,47.0,45.0,0
80.0,85.0,80.0,0
58.0,76.0,75.0,0
79.7,85.0,78.0,0
76.5,86.0,75.0,0
78.7,85.0,78.0,0
66.2,74.0,70.0,0
21.0,76.0,0.0,1
68.1,74.0,70.0,0
66.2,47.0,68.0,0
77.1,74.0,70.0,0
78.7,86.0,70.0,0
78.7,85.0,78.0,0
73.1,74.0,70.0,0
76.7,85.0,80.0,0
73.1,74.0,70.0,0
62.7,85.0,70.0,0
55.7,74.0,70.0,1
64.5,74.0,70.0,1
66.2,47.0,68.0,0
82.2,86.0,70.0,0
75.0,74.0,70.0,0
58.7,41.0,68.0,1
29.0,0.0,0.0,1
78.1,86.0,70.0,0
75.1,74.0,70.0,0
76.7,85.0,80.0,0
77.1,74.0,70.0,0
58.0,76.0,75.0,0
79.0,76.0,75.0,0
